sender,nominal_interval_s,p_g2b_full,r_b2g_full,pi_bad_full,eps_good_full,eps_bad_full,loglik_full,mean_bad_run_pkts_full,mean_good_run_pkts_full,p_g2b_steady_fl,r_b2g_steady_fl,pi_bad_steady_fl,eps_good_steady_fl,eps_bad_steady_fl,loglik_steady_fl,mean_bad_run_pkts_steady_fl,mean_good_run_pkts_steady_fl,p_g2b_steady_rp,r_b2g_steady_rp,pi_bad_steady_rp,eps_good_steady_rp,eps_bad_steady_rp,loglik_steady_rp,mean_bad_run_pkts_steady_rp,mean_good_run_pkts_steady_rp
100,0.09999999999999432,0.0009325464625513205,0.004465940421747684,0.17274219286584633,0.013794721960570917,0.9920401822878147,-122.15577328193504,223.91700416116697,1072.3326291583753,0.0009395351881498826,0.005163516602847543,0.15394514422043498,0.013471655325532912,0.9899138989003242,-121.31777579998176,193.66646355867752,1064.3560907699302,0.0035103487715478945,0.6182347692623655,0.005645961133797629,0.008411115779712795,0.7297612529432006,-70.71288005051612,1.61750850925633,284.87197856384176
106,0.09999999999999432,0.0009431577014233914,0.004459602847208395,0.17456959140309114,0.022237640219847206,0.9869830770814768,-166.5662353981256,224.235214269355,1060.2680744596832,0.0009447652276461306,0.0050362138244528796,0.1579616346114049,0.022092497641050434,0.984894155929036,-165.58593796112075,198.56186310926486,1058.464019142074,1e-06,0.05340638869297435,1.8724001013207153e-05,0.01609901292320627,0.31742556607869177,-100.91261357639326,18.724351607985632,1000000.0
112,0.09999999999999432,0.0010393159932530751,0.004494597075549425,0.18780851457754755,0.007606829068807635,0.9804801751440358,-111.77490894284256,222.48935403798322,962.1712804302997,0.001046400750313221,0.005097885145789949,0.17030469740623064,0.00742286878529947,0.97734090297101,-110.36949847757566,196.15977437738917,955.6568071082406,1e-06,0.017613107578823693,5.677267471684092e-05,0.003302885895135387,0.15401187191236312,-48.03125002441524,56.775898036431904,1000000.0
118,0.09999999999999432,0.001336573433194726,0.004120002778194966,0.2449472675566873,0.0074982335217958765,0.9678465665059186,-140.92599305628366,242.71828293235149,748.1818620393823,0.001276578515349482,0.004401313776535637,0.22483316866964465,0.0074380697375585605,0.9642505080755667,-139.06594135760017,227.20488717055758,783.3439055851848,0.0010836499007130286,0.004525120036851656,0.19320633806983123,0.006481691721713221,0.999999,-56.832270019301724,220.98861286688611,922.8072639899768
124,0.09999999999999432,0.0010973486819757835,0.004075710935819594,0.21212759238283138,0.020760205755896603,0.9932318652883951,-135.48208096549044,245.35596752248762,911.28737512993,0.0010858718998129422,0.002399178298251072,0.3115799882642025,0.02547299330253655,0.9980622455840734,-133.71526111721454,416.80937207916963,920.9189409655642,1e-06,0.015803060827882992,6.327487668458648e-05,0.004582837305558349,0.22099928615646874,-61.78868874921467,63.278880647956214,1000000.0
130,0.09999999999999432,0.0011077264070518296,0.0040118773781796235,0.21636955778634542,0.03364490820871013,0.9915831568340636,-179.3247381612673,249.25986158972455,902.7499873921583,0.0011090222865955683,0.004497084667848909,0.1978239615489933,0.03361974211517732,0.9905130885039415,-178.61120867213722,222.36628257175556,901.6951346124517,1e-06,0.04879947026529361,2.049160580961019e-05,0.024753698158210602,0.39305030514234396,-118.03235222046965,20.49202572412357,1000000.0
136,0.09999999999999432,0.001130319645135485,0.004067269332937425,0.2174699942423245,0.040506638861232534,0.9924437382484327,-192.0743145732145,245.86520295123643,884.705493975676,0.001114711860564081,0.002399659937752854,0.31718666223588715,0.04730707314652993,0.9997155119411514,-187.75495239887584,416.72571361775687,897.0928141860508,1e-06,0.022941044100558805,4.3588095098101686e-05,0.028741478873955284,0.22516075156832535,-134.97279261500196,43.58999510295356,1000000.0
142,0.09999999999999432,0.00190181451588942,0.005971928612601131,0.241538806239163,0.022066060980643003,0.9907358543588917,-146.26859045902967,167.4500927372004,525.813633056813,0.0016011990900595325,0.0037181682413676585,0.3010130698437645,0.028762263853655764,0.99814754526897,-142.758419225805,268.94963731715615,624.5319562121535,1e-06,0.01647576591206226,6.069152194897198e-05,0.006026824713545049,0.24654404627867235,-67.43730919449496,60.69520563337688,1000000.0
148,0.09999999999999432,0.0032641179133662394,0.008144958444860934,0.28609834932101746,0.015782821079594878,0.9797482931637832,-153.34398561157857,122.7753348000137,306.3614815828494,0.0028947897450523406,0.008363163971845913,0.2571328518349871,0.015572767865928495,0.9746310240835068,-151.72615209248315,119.57197101078488,345.44823219342965,0.010162651459012177,0.2392856616885095,0.04074050985064015,0.007708717473165214,0.2247759092053934,-70.03852668635336,4.179105396217812,98.39951749139307
154,0.09999999999999432,1e-06,0.001754439837336163,0.0005696578024100646,0.01646094399755073,0.999999,-68.52791907343813,569.9824973869382,1000000.0,0.0524075627966301,0.19411034323635254,0.21259130275761096,0.01567272691255672,0.019288817769107253,-61.198403214793714,5.151708988440562,19.08121550854301,1e-06,0.001754439837336163,0.0005696578024100646,0.01646094399755073,0.999999,-68.52791907343813,569.9824973869382,1000000.0
